"theMonth","theWeek","theDay","theYear","total","Bumgarner","Murphy","Harvey","Pence","Volquez"
10,41,16,2014,1127689,48721,174,70,27911,1
11,43,1,2014,29056,1621,1,6,399,0
12,48,1,2014,11936,102,1,0,63,0
1,0,1,2015,7029,27,0,0,48,0
2,5,1,2015,5062,26,0,3,17,0
3,9,1,2015,2865,26,1,3,6,0
4,14,7,2015,4929,39,0,5,48,0
5,17,1,2015,5614,15,6,10,17,0
6,22,1,2015,3522,17,1,13,14,0
7,26,1,2015,14874,2487,1,1,11,2
8,30,1,2015,8573,15,5,2,31,0
9,35,1,2015,13092,8,1,18,8,0
10,39,1,2015,838461,472,14793,6549,251,5990
11,44,1,2015,427002,321,5266,14425,47,3805
12,48,1,2015,5933,2,20,42,3,4
1,0,1,2016,5517,0,16,11,1,157
2,5,1,2016,5496,0,3,10,0,2
3,9,1,2016,3848,0,1,10,4,19
4,13,1,2016,5189,1,2,18,47,1
