"theMonth","theWeek","theDay","theYear","total","CuetoCount","FatherCount","HeavyCount","DadCount","HeartCount","KnowingCount"
10,43,26,2014,1,0,0,0,0,0,0
7,30,26,2015,2,2,0,0,0,0,0
10,41,17,2015,3,0,0,0,0,0,0
10,42,20,2015,1,1,0,0,0,0,0
10,42,21,2015,4,0,0,0,0,0,0
10,42,24,2015,45,30,0,0,0,0,0
10,43,25,2015,10,3,0,0,0,0,0
10,43,26,2015,533,392,0,0,0,0,0
10,43,27,2015,656,75,9,0,6,0,0
10,43,28,2015,4328,21,1416,20,459,102,289
10,43,29,2015,348,247,18,0,198,6,2
10,43,30,2015,26,9,3,0,0,0,0
10,43,31,2015,36,2,4,0,3,0,0
11,44,1,2015,1178,5,50,290,46,311,1
11,44,2,2015,2429,46,60,257,75,315,1
11,44,3,2015,160,3,0,11,3,11,0
11,44,4,2015,14,1,0,1,0,1,0
11,44,5,2015,4,0,0,3,0,3,0
11,44,6,2015,4,0,1,1,0,1,0
11,44,7,2015,2,0,0,0,0,0,0
11,45,8,2015,1,0,0,0,0,0,0
11,45,9,2015,1,0,0,0,0,0,0
11,45,10,2015,2,0,0,0,0,0,0
11,45,11,2015,1,0,0,1,0,1,0
11,45,12,2015,2,2,0,0,0,0,0
11,45,13,2015,1,0,0,0,0,0,0
11,46,16,2015,2,0,0,0,0,0,0
11,46,19,2015,2,0,1,0,0,0,0
11,47,26,2015,1,0,0,0,0,0,0
11,47,27,2015,1,0,0,0,0,0,0
12,48,2,2015,1,0,0,0,0,0,0
12,49,8,2015,1,0,0,0,0,0,0
12,52,27,2015,2,0,0,0,0,0,0
1,1,5,2016,1,1,0,0,0,0,0
1,1,6,2016,1,0,0,0,0,0,0
1,1,7,2016,1,0,0,0,0,0,0
1,4,30,2016,7,0,7,0,0,0,0
1,5,31,2016,147,0,147,0,0,0,0
2,5,1,2016,1,0,1,0,0,0,0
2,5,2,2016,1,0,1,0,0,0,0
3,9,1,2016,2,0,2,0,0,0,0
3,9,2,2016,1,0,1,0,0,0,0
3,10,11,2016,1,0,0,0,0,0,0
3,12,26,2016,9,0,0,0,0,0,0
3,13,27,2016,4,0,0,0,0,0,0
3,13,28,2016,2,0,0,0,0,0,0
4,14,4,2016,1,0,0,0,0,0,0
